sale_id,store_id,store_name,region,product_id,product_name,category,sale_date,quantity_sold,selling_price,cost_price,return_quantity,revenue,profit
31,105,Hyderabad Store,West,207,SSD,Electronics,2025-01-01 00:30:00,30,4734,34007,6,142020,-878190
32,101,Pune Store,East,207,Projector,Accessories,2025-01-01 00:31:00,87,34958,2871,0,3041346,2791569
33,104,Delhi Store,South,215,Hard Disk,Accessories,2025-01-01 00:32:00,33,39186,27862,8,1293138,373692
34,102,Hyderabad Store,West,214,Tablet,Storage,2025-01-01 00:33:00,61,36734,6268,9,2240774,1858426
35,106,Hyderabad Store,West,213,Router,Storage,2025-01-01 00:34:00,72,15016,45539,9,1081152,-2197656
36,105,Delhi Store,East,212,Speaker,Accessories,2025-01-01 00:35:00,71,15577,24812,5,1105967,-655685
37,104,Bangalore Store,South,215,Printer,Networking,2025-01-01 00:36:00,91,17174,25628,1,1562834,-769314
38,101,Kolkata Store,South,215,Smart Watch,Accessories,2025-01-01 00:37:00,84,38821,2548,1,3260964,3046932
39,101,Bangalore Store,East,207,Router,Storage,2025-01-01 00:38:00,38,53299,26924,4,2025362,1002250
40,103,Mumbai Store,North,207,Laptop,Electronics,2025-01-01 00:39:00,26,18697,13898,6,486122,124774
41,103,Pune Store,West,208,Smart Watch,Accessories,2025-01-01 00:40:00,48,23219,34409,4,1114512,-537120
42,107,Delhi Store,West,214,Microphone,Electronics,2025-01-01 00:41:00,64,3264,45063,4,208896,-2675136
43,102,Pune Store,South,214,Printer,Storage,2025-01-01 00:42:00,1,40407,5662,7,40407,34745
44,108,Pune Store,West,210,Smart Watch,Electronics,2025-01-01 00:43:00,42,50730,46848,2,2130660,163044
45,104,Delhi Store,North,212,Microphone,Accessories,2025-01-01 00:44:00,18,20077,12948,0,361386,128322
46,104,Ahmedabad Store,East,210,Mouse,Accessories,2025-01-01 00:45:00,26,19298,47841,4,501748,-742118
47,108,Chennai Store,East,210,Laptop,Accessories,2025-01-01 00:46:00,85,17131,42360,8,1456135,-2144465
48,107,Bangalore Store,East,212,Tablet,Storage,2025-01-01 00:47:00,37,30263,6921,1,1119731,863654
49,106,Ahmedabad Store,West,207,Tablet,Accessories,2025-01-01 00:48:00,78,34848,25625,5,2718144,719394
50,106,Ahmedabad Store,South,214,Router,Electronics,2025-01-01 00:49:00,60,29313,27942,5,1758780,82260
51,107,Hyderabad Store,North,210,Tablet,Electronics,2025-01-01 00:50:00,83,49990,23960,8,4149170,2160490
52,106,Ahmedabad Store,South,207,Mouse,Electronics,2025-01-01 00:51:00,11,48038,32122,0,528418,175076
53,103,Chennai Store,East,201,Router,Accessories,2025-01-01 00:52:00,23,30219,1060,5,695037,670657
54,104,Delhi Store,North,209,SSD,Electronics,2025-01-01 00:53:00,60,21822,20664,6,1309320,69480
55,107,Chennai Store,West,208,Monitor,Electronics,2025-01-01 00:54:00,54,4654,39432,7,251316,-1878012
56,104,Bangalore Store,North,212,SSD,Electronics,2025-01-01 00:55:00,33,55071,46940,9,1817343,268323
57,108,Delhi Store,West,207,Laptop,Accessories,2025-01-01 00:56:00,32,41017,31230,7,1312544,313184
58,101,Ahmedabad Store,East,207,Hard Disk,Networking,2025-01-01 00:57:00,36,25959,28680,8,934524,-97956
59,103,Pune Store,East,201,Monitor,Storage,2025-01-01 00:58:00,97,16957,29955,1,1644829,-1260806
60,105,Pune Store,East,215,Microphone,Electronics,2025-01-01 00:59:00,32,1873,1136,1,59936,23584
61,103,Bangalore Store,South,215,Monitor,Accessories,2025-01-01 01:00:00,24,51585,35102,4,1238040,395592
62,107,Chennai Store,North,202,Laptop,Electronics,2025-01-01 01:01:00,89,57549,31013,5,5121861,2361704
63,105,Ahmedabad Store,North,206,Hard Disk,Accessories,2025-01-01 01:02:00,11,11674,35568,5,128414,-262834
64,101,Ahmedabad Store,North,206,Monitor,Accessories,2025-01-01 01:03:00,18,38735,40087,3,697230,-24336
65,107,Mumbai Store,West,213,Hard Disk,Electronics,2025-01-01 01:04:00,76,32863,34012,5,2497588,-87324
66,102,Kolkata Store,South,208,Monitor,Storage,2025-01-01 01:05:00,44,42649,47358,7,1876556,-207196
67,104,Ahmedabad Store,South,207,Router,Electronics,2025-01-01 01:06:00,52,6866,21171,6,357032,-743860
68,101,Hyderabad Store,South,212,Printer,Electronics,2025-01-01 01:07:00,73,26497,42619,4,1934281,-1176906
69,104,Hyderabad Store,South,203,Router,Storage,2025-01-01 01:08:00,52,9348,29755,9,486096,-1061164
70,106,Kolkata Store,South,201,Projector,Accessories,2025-01-01 01:09:00,58,13990,1054,8,811420,750288
71,102,Kolkata Store,West,207,Laptop,Electronics,2025-01-01 01:10:00,28,55491,5477,3,1553748,1400392
72,102,Mumbai Store,North,201,Speaker,Accessories,2025-01-01 01:11:00,68,17639,17597,7,1199452,2856
73,101,Mumbai Store,South,210,Monitor,Electronics,2025-01-01 01:12:00,61,51886,36228,9,3165046,955138
74,102,Mumbai Store,East,209,Keyboard,Storage,2025-01-01 01:13:00,26,139,22618,8,3614,-584454
75,105,Bangalore Store,East,212,Monitor,Accessories,2025-01-01 01:14:00,16,34296,38713,5,548736,-70672
76,102,Ahmedabad Store,East,205,Tablet,Storage,2025-01-01 01:15:00,77,34564,22593,2,2661428,921767
77,104,Delhi Store,North,209,Projector,Accessories,2025-01-01 01:16:00,36,14915,2881,4,536940,433224
78,104,Mumbai Store,East,204,Keyboard,Electronics,2025-01-01 01:17:00,59,11871,1495,0,700389,612184
79,107,Ahmedabad Store,West,213,Hard Disk,Accessories,2025-01-01 01:18:00,73,34626,27365,5,2527698,530053
80,104,Ahmedabad Store,West,207,Keyboard,Accessories,2025-01-01 01:19:00,8,15478,5849,0,123824,77032
81,107,Bangalore Store,North,209,Mouse,Wearables,2025-01-01 01:20:00,73,52511,25010,7,3833303,2007573
82,104,Pune Store,West,215,SSD,Networking,2025-01-01 01:21:00,91,59827,20830,0,5444257,3548727
83,105,Chennai Store,West,206,Printer,Storage,2025-01-01 01:22:00,19,36653,25824,6,696407,205751
84,108,Chennai Store,West,206,Microphone,Electronics,2025-01-01 01:23:00,46,34687,4285,9,1595602,1398492
85,107,Mumbai Store,East,215,Hard Disk,Accessories,2025-01-01 01:24:00,34,12177,41917,4,414018,-1011160
86,103,Chennai Store,South,215,Laptop,Electronics,2025-01-01 01:25:00,11,16132,29440,9,177452,-146388
87,106,Mumbai Store,East,211,Tablet,Storage,2025-01-01 01:26:00,63,24036,28347,9,1514268,-271593
88,101,Chennai Store,East,212,Webcam,Accessories,2025-01-01 01:27:00,51,3827,33363,5,195177,-1506336
89,104,Ahmedabad Store,West,202,Tablet,Accessories,2025-01-01 01:28:00,97,16865,24077,5,1635905,-699564
90,102,Ahmedabad Store,West,208,Hard Disk,Accessories,2025-01-01 01:29:00,98,31775,33388,5,3113950,-158074
91,108,Chennai Store,West,202,Tablet,Storage,2025-01-01 01:30:00,31,1927,22968,4,59737,-652271
92,104,Delhi Store,North,205,Webcam,Electronics,2025-01-01 01:31:00,74,7203,49535,6,533022,-3132568
93,102,Ahmedabad Store,North,212,Monitor,Accessories,2025-01-01 01:32:00,27,57208,19094,3,1544616,1029078
94,106,Kolkata Store,South,205,Smart Watch,Wearables,2025-01-01 01:33:00,27,43858,43507,9,1184166,9477
95,106,Delhi Store,East,204,Router,Storage,2025-01-01 01:34:00,49,31362,3019,3,1536738,1388807
96,106,Chennai Store,East,201,Projector,Accessories,2025-01-01 01:35:00,46,41262,43745,9,1898052,-114218
97,102,Delhi Store,West,209,Projector,Accessories,2025-01-01 01:36:00,33,22801,1768,6,752433,694089
98,104,Mumbai Store,West,204,Headphones,Accessories,2025-01-01 01:37:00,21,56566,38779,1,1187886,373527
99,106,Hyderabad Store,East,215,Webcam,Accessories,2025-01-01 01:38:00,83,56807,48615,1,4714981,679936
100,105,Mumbai Store,South,206,Keyboard,Electronics,2025-01-01 01:39:00,2,53813,19296,9,107626,69034
101,107,Ahmedabad Store,South,213,Speaker,Accessories,2025-01-01 01:40:00,88,42246,48956,3,3717648,-590480
102,102,Ahmedabad Store,South,204,Tablet,Accessories,2025-01-01 01:41:00,20,37550,10607,2,751000,538860
103,102,Delhi Store,North,209,Projector,Accessories,2025-01-01 01:42:00,96,9605,33574,4,922080,-2301024
104,104,Bangalore Store,North,202,Microphone,Electronics,2025-01-01 01:43:00,17,52599,17083,9,894183,603772
105,102,Kolkata Store,West,209,Microphone,Electronics,2025-01-01 01:44:00,15,8924,35912,4,133860,-404820
106,102,Chennai Store,South,211,Webcam,Electronics,2025-01-01 01:45:00,57,29524,48868,5,1682868,-1102608
107,106,Delhi Store,North,213,Hard Disk,Accessories,2025-01-01 01:46:00,32,20071,5185,4,642272,476352
108,104,Pune Store,North,213,Laptop,Accessories,2025-01-01 01:47:00,91,17722,4086,5,1612702,1240876
109,106,Pune Store,West,206,Webcam,Accessories,2025-01-01 01:48:00,24,26998,5919,3,647952,505896
110,107,Kolkata Store,South,213,Monitor,Electronics,2025-01-01 01:49:00,75,26953,11447,9,2021475,1162950
111,108,Ahmedabad Store,North,208,Projector,Electronics,2025-01-01 01:50:00,85,42798,36370,2,3637830,546380
112,107,Kolkata Store,West,203,Hard Disk,Wearables,2025-01-01 01:51:00,53,29855,25202,1,1582315,246609
113,108,Delhi Store,North,205,Headphones,Accessories,2025-01-01 01:52:00,35,11573,9466,5,405055,73745
114,106,Delhi Store,South,211,Keyboard,Accessories,2025-01-01 01:53:00,23,56778,17419,1,1305894,905257
115,107,Ahmedabad Store,South,208,Hard Disk,Electronics,2025-01-01 01:54:00,2,50455,3202,0,100910,94506
116,104,Pune Store,South,210,Webcam,Accessories,2025-01-01 01:55:00,81,17541,11635,9,1420821,478386
117,101,Kolkata Store,East,209,Keyboard,Accessories,2025-01-01 01:56:00,78,6205,10576,4,483990,-340938
118,106,Mumbai Store,South,209,Speaker,Wearables,2025-01-01 01:57:00,11,52525,4652,4,577775,526603
119,108,Kolkata Store,East,209,Microphone,Networking,2025-01-01 01:58:00,91,27561,28569,3,2508051,-91728
120,105,Chennai Store,West,203,Monitor,Electronics,2025-01-01 01:59:00,10,49396,22312,9,493960,270840
121,108,Hyderabad Store,West,201,Tablet,Electronics,2025-01-01 02:00:00,60,1756,30569,5,105360,-1728780
122,105,Pune Store,North,215,Smart Watch,Accessories,2025-01-01 02:01:00,36,45196,40041,1,1627056,185580
123,102,Pune Store,West,202,Headphones,Electronics,2025-01-01 02:02:00,58,32632,34099,5,1892656,-85086
124,107,Pune Store,East,212,SSD,Accessories,2025-01-01 02:03:00,44,4470,40684,7,196680,-1593416
125,105,Kolkata Store,South,210,Printer,Electronics,2025-01-01 02:04:00,94,50081,15269,2,4707614,3272328
126,108,Kolkata Store,West,209,Mouse,Accessories,2025-01-01 02:05:00,74,51453,8329,4,3807522,3191176
127,102,Delhi Store,North,213,Webcam,Accessories,2025-01-01 02:06:00,48,12172,20011,9,584256,-376272
128,101,Kolkata Store,West,204,Mouse,Accessories,2025-01-01 02:07:00,31,49847,26552,1,1545257,722145
129,104,Bangalore Store,South,204,Speaker,Accessories,2025-01-01 02:08:00,69,50995,23472,5,3518655,1899087
130,104,Pune Store,North,212,Projector,Wearables,2025-01-01 02:09:00,21,34730,43861,8,729330,-191751
131,104,Ahmedabad Store,North,213,Laptop,Electronics,2025-01-01 02:10:00,81,11566,33265,9,936846,-1757619
132,105,Chennai Store,West,212,Webcam,Electronics,2025-01-01 02:11:00,63,24935,26618,7,1570905,-106029
133,101,Kolkata Store,North,211,Smart Watch,Wearables,2025-01-01 02:12:00,62,1529,34610,6,94798,-2051022
134,105,Kolkata Store,East,213,Printer,Storage,2025-01-01 02:13:00,60,29954,9321,6,1797240,1237980
135,107,Hyderabad Store,South,211,Router,Electronics,2025-01-01 02:14:00,43,4373,40960,3,188039,-1573241
136,105,Pune Store,East,205,Smart Watch,Storage,2025-01-01 02:15:00,41,27902,3843,9,1143982,986419
137,101,Bangalore Store,South,207,Keyboard,Electronics,2025-01-01 02:16:00,70,49843,31035,0,3489010,1316560
138,101,Pune Store,North,207,Smart Watch,Electronics,2025-01-01 02:17:00,85,3063,37826,0,260355,-2954855
139,107,Kolkata Store,West,206,Hard Disk,Storage,2025-01-01 02:18:00,50,27066,20040,1,1353300,351300
140,101,Hyderabad Store,East,207,Webcam,Accessories,2025-01-01 02:19:00,49,59033,42439,2,2892617,813106
141,108,Hyderabad Store,East,209,Laptop,Accessories,2025-01-01 02:20:00,69,14405,19380,1,993945,-343275
142,101,Pune Store,East,207,Projector,Networking,2025-01-01 02:21:00,78,9926,22498,0,774228,-980616
143,104,Kolkata Store,North,214,Laptop,Networking,2025-01-01 02:22:00,90,15359,17089,8,1382310,-155700
144,108,Chennai Store,West,204,Webcam,Wearables,2025-01-01 02:23:00,91,17976,6946,3,1635816,1003730
145,108,Mumbai Store,North,213,Tablet,Accessories,2025-01-01 02:24:00,33,47236,31278,7,1558788,526614
146,107,Ahmedabad Store,South,203,Headphones,Accessories,2025-01-01 02:25:00,55,7097,38734,5,390335,-1740035
147,103,Bangalore Store,South,210,Speaker,Electronics,2025-01-01 02:26:00,96,4231,37280,5,406176,-3172704
148,103,Pune Store,West,212,Laptop,Electronics,2025-01-01 02:27:00,48,22379,340,0,1074192,1057872
149,101,Delhi Store,South,215,Speaker,Accessories,2025-01-01 02:28:00,65,50359,30254,7,3273335,1306825
150,108,Hyderabad Store,North,206,Hard Disk,Electronics,2025-01-01 02:29:00,19,53795,22396,4,1022105,596581
151,103,Bangalore Store,North,203,Keyboard,Electronics,2025-01-01 02:30:00,19,30105,46845,5,571995,-318060
152,103,Chennai Store,East,202,Microphone,Accessories,2025-01-01 02:31:00,65,26154,48894,9,1700010,-1478100
153,101,Bangalore Store,West,213,Hard Disk,Electronics,2025-01-01 02:32:00,96,28122,36290,1,2699712,-784128
154,103,Delhi Store,North,206,Keyboard,Storage,2025-01-01 02:33:00,29,57197,45709,0,1658713,333152
155,105,Delhi Store,East,204,Router,Accessories,2025-01-01 02:34:00,39,59095,28168,0,2304705,1206153
156,102,Chennai Store,East,207,Smart Watch,Electronics,2025-01-01 02:35:00,57,14060,46764,5,801420,-1864128
157,107,Bangalore Store,East,215,SSD,Storage,2025-01-01 02:36:00,56,22754,24133,1,1274224,-77224
158,102,Pune Store,North,202,Microphone,Wearables,2025-01-01 02:37:00,24,9131,1813,4,219144,175632
159,101,Mumbai Store,South,203,Laptop,Storage,2025-01-01 02:38:00,8,49727,7037,5,397816,341520
160,104,Mumbai Store,West,210,Mouse,Accessories,2025-01-01 02:39:00,4,59781,22915,6,239124,147464
161,107,Pune Store,West,213,Projector,Storage,2025-01-01 02:40:00,89,11014,42086,5,980246,-2765408
162,101,Hyderabad Store,West,213,Monitor,Storage,2025-01-01 02:41:00,51,53980,27385,3,2752980,1356345
163,108,Ahmedabad Store,East,213,Projector,Accessories,2025-01-01 02:42:00,94,43575,25785,3,4096050,1672260
164,104,Pune Store,North,214,Headphones,Accessories,2025-01-01 02:43:00,60,4910,1784,9,294600,187560
165,102,Kolkata Store,South,205,Laptop,Accessories,2025-01-01 02:44:00,11,13549,21750,8,149039,-90211
166,101,Ahmedabad Store,North,208,Laptop,Electronics,2025-01-01 02:45:00,90,52481,5399,8,4723290,4237380
167,108,Hyderabad Store,West,205,Microphone,Accessories,2025-01-01 02:46:00,13,20093,6756,5,261209,173381
168,107,Bangalore Store,North,209,Laptop,Wearables,2025-01-01 02:47:00,74,8573,781,8,634402,576608
169,107,Pune Store,South,208,Hard Disk,Electronics,2025-01-01 02:48:00,6,23713,27249,9,142278,-21216
170,106,Ahmedabad Store,West,214,Hard Disk,Accessories,2025-01-01 02:49:00,96,33053,16619,8,3173088,1577664
171,108,Ahmedabad Store,East,202,Tablet,Networking,2025-01-01 02:50:00,65,59208,25338,6,3848520,2201550
172,105,Kolkata Store,West,208,Tablet,Storage,2025-01-01 02:51:00,55,32100,13590,7,1765500,1018050
173,103,Hyderabad Store,East,211,Tablet,Accessories,2025-01-01 02:52:00,4,20109,47950,2,80436,-111364
174,104,Delhi Store,East,204,SSD,Accessories,2025-01-01 02:53:00,25,4747,39110,9,118675,-859075
175,108,Chennai Store,South,207,Monitor,Electronics,2025-01-01 02:54:00,25,27372,21368,5,684300,150100
176,106,Hyderabad Store,West,207,Hard Disk,Electronics,2025-01-01 02:55:00,95,39706,4867,0,3772070,3309705
177,103,Pune Store,South,202,Webcam,Storage,2025-01-01 02:56:00,39,23653,14065,5,922467,373932
178,103,Ahmedabad Store,North,201,Hard Disk,Accessories,2025-01-01 02:57:00,42,59259,6032,1,2488878,2235534
179,101,Ahmedabad Store,South,215,Projector,Networking,2025-01-01 02:58:00,29,19657,1986,0,570053,512459
180,103,Mumbai Store,West,202,Speaker,Accessories,2025-01-01 02:59:00,28,32349,48892,5,905772,-463204
181,105,Pune Store,South,212,Mouse,Electronics,2025-01-01 03:00:00,17,58463,42732,1,993871,267427
182,107,Delhi Store,West,204,Tablet,Electronics,2025-01-01 03:01:00,10,22169,33610,2,221690,-114410
183,106,Ahmedabad Store,South,214,Microphone,Electronics,2025-01-01 03:02:00,38,47616,27870,5,1809408,750348
184,103,Kolkata Store,East,210,Microphone,Accessories,2025-01-01 03:03:00,65,21688,48305,5,1409720,-1730105
185,101,Mumbai Store,North,207,Projector,Electronics,2025-01-01 03:04:00,19,52032,38587,0,988608,255455
186,105,Hyderabad Store,North,203,Webcam,Accessories,2025-01-01 03:05:00,12,54362,43936,9,652344,125112
187,102,Pune Store,West,203,Tablet,Accessories,2025-01-01 03:06:00,73,10324,25104,6,753652,-1078940
188,107,Hyderabad Store,West,206,Keyboard,Electronics,2025-01-01 03:07:00,26,10023,41463,9,260598,-817440
189,107,Kolkata Store,West,215,SSD,Electronics,2025-01-01 03:08:00,21,19212,48594,9,403452,-617022
190,106,Ahmedabad Store,South,206,Speaker,Electronics,2025-01-01 03:09:00,4,6569,46884,8,26276,-161260
191,107,Delhi Store,North,204,Smart Watch,Storage,2025-01-01 03:10:00,65,57030,41194,1,3706950,1029340
192,103,Mumbai Store,North,212,Projector,Accessories,2025-01-01 03:11:00,49,54407,43874,7,2665943,516117
193,101,Chennai Store,North,210,Monitor,Electronics,2025-01-01 03:12:00,93,22246,18945,4,2068878,306993
194,107,Chennai Store,North,205,Tablet,Accessories,2025-01-01 03:13:00,62,51413,41098,5,3187606,639530
195,107,Kolkata Store,North,204,Tablet,Accessories,2025-01-01 03:14:00,66,52950,31436,1,3494700,1419924
196,102,Delhi Store,West,202,Monitor,Accessories,2025-01-01 03:15:00,83,8202,40378,0,680766,-2670608
197,102,Pune Store,East,201,Laptop,Accessories,2025-01-01 03:16:00,45,11376,4741,7,511920,298575
198,104,Hyderabad Store,West,201,Printer,Accessories,2025-01-01 03:17:00,30,25809,46572,0,774270,-622890
199,105,Pune Store,North,211,Mouse,Storage,2025-01-01 03:18:00,46,3932,20014,1,180872,-739772
200,103,Delhi Store,South,203,Monitor,Electronics,2025-01-01 03:19:00,61,23199,13596,1,1415139,585783
201,107,Mumbai Store,West,204,Smart Watch,Networking,2025-01-01 03:20:00,26,19104,247,4,496704,490282
202,108,Chennai Store,East,210,Microphone,Storage,2025-01-01 03:21:00,56,25483,10878,5,1427048,817880
203,107,Hyderabad Store,North,207,Monitor,Electronics,2025-01-01 03:22:00,59,14646,19181,6,864114,-267565
204,101,Ahmedabad Store,South,201,Laptop,Accessories,2025-01-01 03:23:00,85,32396,21658,0,2753660,912730
205,104,Mumbai Store,East,202,Speaker,Electronics,2025-01-01 03:24:00,35,49142,23096,2,1719970,911610
206,105,Chennai Store,East,201,Tablet,Accessories,2025-01-01 03:25:00,65,5866,6768,3,381290,-58630
207,108,Ahmedabad Store,East,207,Monitor,Accessories,2025-01-01 03:26:00,37,12501,26224,4,462537,-507751
208,104,Chennai Store,North,212,Smart Watch,Accessories,2025-01-01 03:27:00,57,5591,25148,0,318687,-1114749
209,106,Bangalore Store,South,202,Laptop,Electronics,2025-01-01 03:28:00,23,17784,38535,5,409032,-477273
210,105,Hyderabad Store,West,215,Mouse,Electronics,2025-01-01 03:29:00,24,42664,47710,9,1023936,-121104
211,107,Delhi Store,North,215,Mouse,Networking,2025-01-01 03:30:00,41,25404,38884,3,1041564,-552680
212,107,Bangalore Store,North,203,SSD,Accessories,2025-01-01 03:31:00,47,59415,40531,3,2792505,887548
213,105,Chennai Store,South,215,Microphone,Electronics,2025-01-01 03:32:00,45,38550,19181,0,1734750,871605
214,107,Hyderabad Store,North,206,Laptop,Accessories,2025-01-01 03:33:00,56,55375,9289,0,3101000,2580816
215,103,Kolkata Store,West,210,Speaker,Accessories,2025-01-01 03:34:00,74,21276,43320,9,1574424,-1631256
216,105,Kolkata Store,West,211,Speaker,Storage,2025-01-01 03:35:00,48,45337,37112,0,2176176,394800
217,104,Hyderabad Store,West,201,Hard Disk,Electronics,2025-01-01 03:36:00,15,35502,46300,7,532530,-161970
218,105,Bangalore Store,West,202,Smart Watch,Networking,2025-01-01 03:37:00,90,50528,35188,2,4547520,1380600
219,108,Mumbai Store,West,211,Monitor,Electronics,2025-01-01 03:38:00,42,11726,4687,9,492492,295638
220,107,Mumbai Store,North,210,Smart Watch,Accessories,2025-01-01 03:39:00,89,20080,1695,6,1787120,1636265
221,103,Kolkata Store,South,212,Hard Disk,Electronics,2025-01-01 03:40:00,34,31165,32955,3,1059610,-60860
222,103,Delhi Store,East,203,Webcam,Storage,2025-01-01 03:41:00,58,33180,22842,3,1924440,599604
223,106,Hyderabad Store,West,208,Projector,Electronics,2025-01-01 03:42:00,54,59884,19565,0,3233736,2177226
224,104,Pune Store,East,207,Router,Accessories,2025-01-01 03:43:00,42,39475,19477,0,1657950,839916
225,102,Bangalore Store,West,205,Hard Disk,Networking,2025-01-01 03:44:00,2,50360,28898,8,100720,42924
226,102,Chennai Store,West,209,Projector,Storage,2025-01-01 03:45:00,23,18624,12402,5,428352,143106
227,105,Mumbai Store,West,210,Speaker,Accessories,2025-01-01 03:46:00,64,14932,13219,5,955648,109632
228,106,Bangalore Store,East,210,Keyboard,Electronics,2025-01-01 03:47:00,58,38897,7009,6,2256026,1849504
229,101,Delhi Store,North,209,Headphones,Wearables,2025-01-01 03:48:00,46,58732,37467,5,2701672,978190
230,105,Delhi Store,North,208,Router,Storage,2025-01-01 03:49:00,20,31774,8447,2,635480,466540
231,106,Pune Store,West,215,Smart Watch,Accessories,2025-01-01 03:50:00,80,38573,46315,7,3085840,-619360
232,104,Ahmedabad Store,West,207,SSD,Wearables,2025-01-01 03:51:00,79,42856,22211,7,3385624,1630955
233,104,Hyderabad Store,West,214,Tablet,Networking,2025-01-01 03:52:00,32,16855,17083,3,539360,-7296
234,104,Delhi Store,South,207,Microphone,Accessories,2025-01-01 03:53:00,52,47607,40030,4,2475564,394004
235,104,Delhi Store,North,203,Hard Disk,Accessories,2025-01-01 03:54:00,44,9491,13312,8,417604,-168124
236,104,Pune Store,West,209,Laptop,Electronics,2025-01-01 03:55:00,73,2725,44603,3,198925,-3057094
237,106,Ahmedabad Store,West,214,Headphones,Accessories,2025-01-01 03:56:00,57,49642,29060,4,2829594,1173174
238,106,Pune Store,West,210,Router,Electronics,2025-01-01 03:57:00,87,40610,13101,3,3533070,2393283
239,103,Mumbai Store,South,213,Printer,Electronics,2025-01-01 03:58:00,18,3125,15940,6,56250,-230670
240,108,Mumbai Store,West,202,Hard Disk,Storage,2025-01-01 03:59:00,45,9791,451,6,440595,420300
241,102,Delhi Store,East,212,Monitor,Accessories,2025-01-01 04:00:00,98,41282,30565,3,4045636,1050266
242,107,Kolkata Store,South,211,Laptop,Electronics,2025-01-01 04:01:00,62,24345,25088,3,1509390,-46066
243,104,Pune Store,East,214,Laptop,Accessories,2025-01-01 04:02:00,86,12648,20001,7,1087728,-632358
244,101,Kolkata Store,East,213,Router,Networking,2025-01-01 04:03:00,58,33538,5592,3,1945204,1620868
245,107,Hyderabad Store,North,209,Printer,Electronics,2025-01-01 04:04:00,49,17201,41929,8,842849,-1211672
246,106,Mumbai Store,North,207,Microphone,Storage,2025-01-01 04:05:00,55,13704,33908,1,753720,-1111220
247,101,Mumbai Store,West,203,Tablet,Accessories,2025-01-01 04:06:00,27,58489,38267,8,1579203,545994
